ID,female,age,time,pref_15,region_15,ew_15,pref,region,ew,itemID_1,itemID_2,itemID_3,itemID_4,itemID_5,itemID_6,itemID_7,itemID_8,itemID_9,itemID_10
6371,0,2,355,0,0,0,0,0,0,5,0,3,4,6,9,8,1,7,2
10007,1,1,214,26,6,1,26,6,1,0,9,6,3,7,2,8,1,5,4
1777,1,2,363,29,6,1,26,6,1,7,0,2,3,8,4,5,1,9,6
3613,0,4,395,40,9,1,26,6,1,4,5,7,0,2,3,1,6,8,9
8081,1,1,707,26,6,1,36,8,1,8,6,5,0,3,9,2,7,4,1
1462,1,2,276,12,3,0,13,3,0,6,2,9,0,5,1,4,8,7,3
5367,0,3,241,0,0,0,0,0,0,4,7,0,1,2,8,3,5,9,6
1084,1,2,196,0,0,0,13,3,0,6,3,7,8,0,9,2,1,4,5
6861,0,2,336,42,9,1,39,9,1,2,3,7,8,0,4,5,6,1,9
9458,1,0,308,18,5,0,18,5,0,0,3,1,8,6,2,9,7,4,5
9077,1,1,623,27,6,1,27,6,1,7,8,3,2,6,5,0,4,9,1
9614,1,1,416,13,3,0,13,3,0,4,7,1,3,2,5,6,8,0,9
8768,1,2,191,26,6,1,26,6,1,7,4,5,1,0,3,8,2,9,6
7155,0,3,195,16,3,0,16,3,0,3,1,0,8,7,2,9,6,5,4
1112,1,2,234,10,3,0,8,3,0,2,7,1,0,4,5,9,8,6,3
5281,0,2,192,18,5,0,13,3,0,7,4,3,5,0,1,2,6,8,9
9733,1,2,431,31,7,1,11,3,0,3,4,0,5,9,6,7,8,2,1
5695,0,2,222,40,9,1,12,3,0,7,4,1,2,0,3,6,8,5,9
5085,0,2,296,10,3,0,10,3,0,7,5,0,1,2,4,8,3,9,6
1834,1,2,380,32,7,1,14,3,0,5,7,4,0,3,8,1,2,9,6
1314,0,1,238,13,3,0,13,3,0,4,7,0,5,2,1,8,3,6,9
3725,0,3,378,15,4,0,15,4,0,7,3,5,4,0,1,6,8,9,2
1595,0,3,289,40,9,1,40,9,1,1,0,7,6,2,5,8,9,3,4
1513,0,3,273,30,7,1,30,7,1,5,7,4,0,2,3,8,1,6,9
5273,0,2,502,4,1,0,14,3,0,2,0,6,8,7,9,1,5,4,3
5175,0,3,329,39,9,1,39,9,1,7,0,5,4,1,2,8,3,6,9
6277,0,2,296,0,0,0,14,3,0,5,1,0,3,6,8,7,2,4,9
8864,1,2,212,13,3,0,13,3,0,7,2,5,0,4,8,3,9,1,6
9434,1,2,513,25,6,1,25,6,1,5,7,3,1,2,8,9,6,0,4
7167,0,2,282,11,3,0,12,3,0,7,4,3,2,0,1,5,8,6,9
8270,1,1,219,13,3,0,13,3,0,3,7,2,5,6,8,0,1,9,4
10085,1,2,446,13,3,0,13,3,0,7,1,2,0,8,5,6,4,9,3
5211,0,1,260,11,3,0,11,3,0,7,0,4,1,5,2,6,8,3,9
5111,0,5,446,40,9,1,40,9,1,2,5,6,4,0,9,8,7,1,3
7021,0,4,390,35,8,1,35,8,1,7,2,1,8,0,4,3,6,9,5
6665,0,3,421,30,7,1,30,7,1,5,7,1,4,2,0,8,3,9,6
4145,0,1,300,26,6,1,25,6,1,0,7,3,2,1,4,5,8,6,9
1140,1,2,418,29,6,1,29,6,1,7,2,6,5,1,0,8,3,9,4
8665,1,3,310,14,3,0,43,9,1,4,1,2,7,5,8,3,0,6,9
8053,1,3,259,24,5,0,24,5,0,1,2,8,7,6,0,3,9,5,4
9944,1,2,310,0,0,0,0,0,0,5,0,6,4,3,9,1,8,7,2
1131,0,1,246,23,6,1,23,6,1,7,0,1,2,8,3,6,5,9,4
5189,0,2,305,7,2,0,7,2,0,7,4,2,0,3,8,5,9,1,6
6823,0,3,249,30,7,1,30,7,1,8,7,5,4,2,1,6,0,3,9
1398,1,3,391,4,1,0,4,1,0,8,0,3,4,5,1,2,7,9,6
5019,0,0,264,13,3,0,13,3,0,7,2,4,0,3,8,6,5,1,9
6031,0,3,268,26,6,1,26,6,1,7,8,1,4,5,3,0,6,9,2
8688,1,2,251,34,7,1,31,7,1,0,3,7,1,8,9,6,4,2,5
1072,0,1,286,13,3,0,13,3,0,1,0,3,5,2,7,8,9,6,4
9824,1,0,285,17,4,0,17,4,0,2,7,5,0,9,8,6,1,3,4
1610,1,1,326,24,5,0,24,5,0,7,2,5,4,3,0,8,1,6,9
9065,1,1,319,13,3,0,13,3,0,6,1,0,4,3,8,7,9,2,5
